model,prompt_name,percentage,target_lang,detected_lang,is_correct,output,timestamp
qwen:4b,1_no_technique,0,es,es,True,"que, los llamado de América del
 de las, que, o 
de este de Asia. La 

Añada por su forma

La 
es, por

es 

En el mismo este los, por 

en, la , pero a 
la 
de 
la 
, así.",2025-03-26T22:55:39.749856
qwen:4b,1_no_technique,50,es,es,True,"es o los o las de esta their que, las de su o su t, o su de los their de la o su las o de es

es o de 
es o su 
es de 
es 
las o unes
de 
de o 
en su de 
con se es 
 de
á las 
las

suc de las 
es, con él 
es
é elus de 
s 
es que es 
es 
es de 
es. ese o los 2 es, es o 
es en un 2, también es 
és, de 
o de 
es o la
o es la

las 2 de la
la que pueden en su
o

o como  por 
de su 
es  de 
de las 0 3 de esta iles de en  el  su  de o los o de  deles el de la o, de la o las o de their de  del  de un de o de  de que su de su es de , de que o una de su
las que su es que de la, su o de esta
su las, de la se de o de las o que . de la de los la, en el se o a (o de la de y de .
es de an (an de las o de a es de un que hay o de an es, su es por de . las de las, las de o de su de , de  o . Their de las de la de . de los de , con o una o de , que de una o los , en el . las de o en las de , o en con de un de , como o 
las de o de o es y en las o de la o las o , de las o de o de , o , donde o, o s de más o ; de en de los o de o m poros de o de o de o de los o su o de o del o de las o a las o o de los o a o de o su o, theiro una o . Las o .",2025-03-26T22:56:28.125117
qwen:4b,1_no_technique,100,es,zh,False,"。 通过在
（诺贝尔
 。
此。",2025-03-26T22:57:09.955373
qwen:4b,1_no_technique,0,es,es,True,"la o, 5
 1000 y que se.",2025-03-26T22:57:45.523787
qwen:4b,1_no_technique,50,es,en,False,).,2025-03-26T22:58:57.985700
qwen:4b,1_no_technique,100,es,zh,False,"在这段代码中，没有明确表示有多少文本。对于每份文本，它提供了一个简短的描述：

- 历史学是研究人类社会的发展过程以及其中的各种要素之间的相互关系的一门学问。

所以，对于这个问题，我的回答是：在这段代码中，并没有明确表示有多少文本。",2025-03-26T22:59:19.388596
qwen:4b,1_no_technique,0,es,en,False," 2045, a",2025-03-26T22:59:39.762638
qwen:4b,1_no_technique,50,es,es,True,"que susa y laso que su m. O, 
queight para las más (enquasón 
de las que hay A) yasquadé elima de losa y
antes de en la enzas o la cualmente de la). El código",2025-03-26T23:00:42.130284
qwen:4b,1_no_technique,100,es,zh,False,"</table
公元晋
西汉</
</西2  
晋</
</
</
</表
</table>
2010
</html>
</div>
</
</div>
</div>
</div>
</div>
</div>

四川
</td>
</td>
</
</",2025-03-26T23:01:05.782962
qwen:4b,1_no_technique,0,es,es,True," 16 o
 Arque  o 
Por
 Arque o se a 4, se
 Es
  o su   o a las
 Ar 
 0 a su  a su  o 
 a  o  o  a o 
 a que o  o 0
 es
 o,  o 
  o por la  o de  o p. o 
 o  o que o
 o  o o se o pa o o o o
 a o  o pa o o  o  o  o
Ar

 Ar  o que 2  o    o
 Ar =  o o 5 0  o,  con  suos    o    S   de  (o 5. 0  (ar 0
 0
 es 0",2025-03-26T23:01:41.427879
qwen:4b,1_no_technique,50,es,es,True,"textos a todos
<",2025-03-26T23:02:00.771218
qwen:4b,1_no_technique,100,es,zh,False,。,2025-03-26T23:02:24.940497
qwen:4b,1_no_technique,0,es,es,True,"AOGu AOCivil en Afil (la Aseguro el
A
Afgan A, AFA A A, a A, de A A A A A A, A A A A A A  A A A A A A  A A A  A A A A A A, A A A A A A A los Aiguá n A A las A A A A A A A A A A A, Afg A A A A A A A A A A A A A A A A A A A A en A  A A A  A, A A A A A A la A A 1 A A A A A A A A A A A A A A A A A A A A A A A A  A A A  A A A A A A A A A A A A A A A A A A A A A A A y A A A A A A A A A A A A A A A A A A A A, A A A A A A A A A A A A A A A A A A A A A A A A, A A  A A A A A A A A A  A A A  ABA, a A; A A  A A, A A y A A A A más A 4, la A las  ARA A  A la A A, A A A A  A  A A A A A A A A A  A A A A de A; A A A; A A

A A A A A A A A A A A a A A A A A A A A A A A A A A A A A A A A A, A A A A A A A A A A A A A A A A A A A A A A A A A A A A A A A",2025-03-26T23:03:13.336897
qwen:4b,1_no_technique,50,es,en,False,.,2025-03-26T23:04:27.010748
qwen:4b,1_no_technique,100,es,zh,False,"（即，但。
中国
。
从起点。",2025-03-26T23:05:34.793941
qwen:4b,1_no_technique,0,es,es,True,"en el, 2 de su 5
66 
se, a These, ¿por, 
60, 7?:
Public? 4?
8
s? 63 1, 6962? 65 188 
f.4
 6 18f:8064 18; 8 18f 13
 748, a su 18p 18 18s 10: de las: 9;",2025-03-26T23:06:09.556915
qwen:4b,1_no_technique,50,es,en,False,),2025-03-26T23:07:04.265812
qwen:4b,1_no_technique,100,es,zh,False,"由

它。以上
《

2有

．",2025-03-26T23:08:33.200785
